,indicID,indicName,nameEN,dyCD,parentID,isList,frequency,unit,statType,accuracy,region,country,currency,importance,infoSource,memoCN,dataApiID,dataApiName,beginDate,endDate,isUpdate
37,1010008398,GDP:现价:第一产业:当季值,GDP: at Current Prices: Primary Industry: Current Quarter,M010008398,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
38,1010008399,GDP:现价:第二产业:当季值,GDP: at Current Prices: Secondary Industry: Current Quarter,M010008399,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
39,1010008400,GDP:现价:第三产业:当季值,GDP: at Current Prices: Tertiary Industry,M010008400,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
40,1010008401,GDP:现价:第一产业:农林牧渔业:当季值,"GDP: at Current Prices: Agriculture, Forestry, Animal Husbandry and Fishery Industry",M010008401,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
41,1010008402,GDP:现价:第二产业:工业:当季值,GDP: at Current Prices: Industry,M010008402,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
42,1010008403,GDP:现价:第二产业:建筑业:当季值,GDP: at Current Prices: Construction: Current Quarter,M010008403,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
43,1010008404,GDP:现价:第三产业:批发和零售业:当季值,GDP: at Current Prices: Wholesale and Retail Trades: Current Quarter,M010008404,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
44,1010008405,GDP:现价:第三产业:交通运输、仓储和邮政业:当季值,"GDP: at Current Prices: Transport,Storage and Post: Current Quarter",M010008405,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
45,1010008406,GDP:现价:第三产业:住宿和餐饮业:当季值,GDP: at Current Prices: Hotels and Catering Services: Current Quarter,M010008406,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
46,1010008407,GDP:现价:第三产业:金融业:当季值,GDP: at Current Prices: Financial Intermediation: Current Quarter,M010008407,M010000003,0,季,亿元,当期值,2,全国,中国,人民币元,比较重要,国家统计局,"国家统计局从2015年3季度开始改为分季核算方式,即分别计算各年1季度,2季度,3季度和4季度的GDP数据,累计数据通过当季数据相加得到。",2975,getEcoDataChina,1992-03-31,2021-12-31,1
